seed,N,feature_set,cell_name,cohort,y_true,y_prob,y_pred
0,400,fs_a_plus_cap_c5,AR4167,AR,0,0.5712278811531191,1
0,400,fs_a_plus_cap_c5,AR4080,AR,1,0.747816591281576,1
0,400,fs_a_plus_cap_c5,AR4185,AR,1,0.885396537977956,1
0,400,fs_a_plus_cap_c5,AR3775,AR,0,0.4040020374399841,0
0,400,fs_a_plus_cap_c5,0MC2-251028-002,0MC,1,0.775134137253979,1
0,400,fs_a_plus_cap_c5,AR4411,AR,0,0.13592957945381087,0
0,400,fs_a_plus_cap_c5,AR4272,AR,1,0.5907913269971444,1
0,400,fs_a_plus_cap_c5,AR4313,AR,0,0.07858752808983775,0
0,400,fs_a_plus_cap_c5,0MC8-251113-R001,0MC,1,0.6238212835603116,1
0,400,fs_a_plus_cap_c5,R1355_AMY25R1355ST1,AR,1,0.4812033737421874,0
0,400,fs_a_plus_cap_c5,AR4433,AR,0,0.34571934472480803,0
0,400,fs_a_plus_cap_c5,AR4292,AR,0,0.21900594751481609,0
0,400,fs_a_plus_cap_c5,AR4439,AR,0,0.84096914291598,1
0,400,fs_a_plus_cap_c5,AR3917,AR,1,0.7900583920423965,1
0,400,fs_a_plus_cap_c5,AR4102,AR,1,0.9052079559258165,1
0,400,fs_a_plus_cap_c5,AR4262,AR,0,0.0272735033539057,0
0,400,fs_a_plus_cap_c5,AR3985,AR,0,0.29144692075095346,0
0,400,fs_a_plus_cap_c5,AR4164,AR,0,0.6059190308024821,1
0,400,fs_a_plus_cap_c5,0MC20-251126-R002,0MC,0,0.03180630926951407,0
0,400,fs_a_plus_cap_c5,AR3774,AR,1,0.7615943116082262,1
0,400,fs_a_plus_cap_c5,AR4593,AR,0,0.1955380895792685,0
0,400,fs_a_plus_cap_c5,AR3974,AR,0,0.10330159845230984,0
0,400,fs_a_plus_cap_c5,0MC6-260119-R001,0MC,0,0.4694707432657942,0
0,400,fs_a_plus_cap_c5,AR4256,AR,1,0.9071694863000364,1
0,400,fs_a_plus_cap_c5,AR4162,AR,0,0.7102062927186283,1
0,400,fs_a_plus_cap_c5,AR4581,AR,0,0.8972501916968928,1
