cell_name,cohort,dqv_norm_c5_c1_var_log10,dqv_norm_c5_c1_min,dqv_norm_c5_c1_mean,dqv_norm_c5_c1_skew
0MC6-260211-R003,0MC,-4.689113737524839,-0.011946112785210534,-0.002173154647925013,0.016405999886357877
0MC6-260211-R005,0MC,-4.775132315613954,-0.015051915033069295,-0.006783161381192088,0.03235503655708466
0MC6-260212-R004,0MC,-4.948280842725713,-0.017960850877373404,-0.010658834609070406,-0.33035930701717736
0MC6-260212-R007,0MC,-4.865598844037233,-0.01288972805816608,-0.009129157835897007,1.2604601630736978
0MC6-260212-R009,0MC,-5.126764362441236,-0.01408807009479896,-0.010258620839653738,1.2606143547748354
0MC6-260213-R001,0MC,-4.366122579243926,-0.01285544082935448,-0.0016046448366738024,0.16367164701443399
0MC6-260213-R006,0MC,-4.76922141932456,-0.01472094105071118,-0.0090294660637918,1.0066432735470854
0MC6-260218-R002,0MC,-4.2405901012613665,-0.032012024063030914,-0.0142025881814086,-0.6735413923294736
0MC6-260218-R003,0MC,-4.108297375618359,-0.00995689734757732,0.005694355631495089,-0.13621347413447088
0MC6-260218-R004,0MC,-4.550132645563578,-0.015590515856202605,-0.006409928366785948,0.05633501806794867
0MC6-260218-R005,0MC,-4.326827461241847,-0.03223962011833579,-0.015875780351864033,-0.6372688989137562
0MC6-260218-R006,0MC,-4.366502138073968,-0.03063934232957708,-0.015063194635718721,-0.699474568610591
0MC6-260303-R001,0MC,-4.753698027789406,-0.013025598114239704,-0.00586292589697955,-0.30923809036532035
0MC6-260303-R001_from_db,0MC,-4.753698027789406,-0.013025598114239704,-0.00586292589697955,-0.30923809036532035
0MC6-260303-R002,0MC,-4.81181933269154,-0.015575508293576304,-0.008417462991400325,0.05673188885897382
0MC6-260303-R003,0MC,-4.371092753223244,-0.03236577932691878,-0.019926954327795548,0.712592166773734
0MC6-260303-R004,0MC,-5.006625989184543,-0.014165845465399576,-0.008324844028849454,-0.21285408547016288
0MC6-260303-R005,0MC,-5.053091148020193,-0.020071172289333167,-0.013260312443056577,0.64425965172413
0MC6-260303-R006,0MC,-4.957106398211022,-0.018230729783376278,-0.010132620803568984,-0.5715421778147937
0MC6-260305-R001,0MC,-4.823431657685203,-0.012259492400648248,-0.0034148804191013495,-0.2915198495167959
0MC6-260316-R002,0MC,-4.911069843369584,-0.017450573825186836,-0.008952863999671391,0.3200357969060778
0MC6-260317-R001,0MC,-3.933810415868172,-0.050741929832375125,-0.024413113921615694,-0.8349165853901261
0MC6-260317-R005,0MC,-3.955580538523984,0.00018755810969539241,0.024090825842469285,0.2649196883641119
0MC6-260317-R007,0MC,-5.473805868009531,-0.009931168036572272,-0.006592082874780916,1.5575955620221689
0MC6-260317-R008,0MC,-5.355753760643465,-0.009116954057265455,-0.006468114248964409,1.698775751066368
0MC6-260319-R001,0MC,-5.16230334310858,-0.015784212474427867,-0.00821353437516102,-0.5788022976540538
0MC6-260319-R002,0MC,-5.008823393578536,-0.00989044299803504,-0.006121345655003991,0.26999029138987285
0MC6-260323-R006,0MC,-2.9117332736759263,-0.0803096892515478,-0.025880174254193308,-0.4898039317337823
0MC6-260323-R007,0MC,-2.9891015696573895,-0.08047514338306326,-0.02895429430873398,-0.5496919384230964
0MC6-260323-R008,0MC,-2.9855001376934194,-0.07953386171124913,-0.029907865353722547,-0.5174004551463735
0MC6-260325-R003,0MC,-3.5833307626774498,-0.006700008285818425,0.03597960280701739,-1.0947531138797768
0MC6-260402-R001,0MC,-4.989416143125841,-0.0074600174218744375,-0.002615934239269511,0.0855421637595111
0MC6-260402-R002,0MC,-5.591954696575733,-0.008988796352637983,-0.005777529419625297,0.7610666757696314
0MC6-260402-R003,0MC,-5.393075323188997,-0.0053567413942590585,-0.0020629344820014914,0.23417515231688582
0MC6-260402-R004,0MC,-5.256089005487948,-0.0006348638731829828,0.003972485414163309,0.6932208897061826
